text,category
SWIGGY FOOD ORDER,Food
SWIGGY BANGALORE,Food
ZOMATO FOOD DELIVERY,Food
ZOMATO ONLINE ORDER,Food
DOMINOS PIZZA ORDER,Food
PIZZA HUT RESTAURANT,Food
CAFE COFFEE DAY,Food
STARBUCKS COFFEE,Food
MCDONALDS RESTAURANT,Food
KFC RESTAURANT,Food
HALDIRAM SNACKS,Food
FRESHMENU FOOD ORDER,Food
BIGBASKET GROCERY ORDER,Food
BLINKIT GROCERY DELIVERY,Food
UBER CAB TRIP,Transport
UBER AUTO RIDE,Transport
UBER TRIP AIRPORT,Transport
OLA CAB RIDE,Transport
OLA AUTO TRIP,Transport
OLA CAB AIRPORT,Transport
RAPIDO BIKE TAXI,Transport
METRO CARD RECHARGE,Transport
FASTAG TOLL PAYMENT,Transport
SHELL PETROL PUMP,Transport
PARKING FEE PAYMENT,Transport
CNG FUEL FILL,Transport
AMAZON PURCHASE ORDER,Shopping
AMAZON IN ORDER,Shopping
FLIPKART ORDER,Shopping
FLIPKART SHOPPING,Shopping
MYNTRA CLOTHING ORDER,Shopping
RELIANCE DIGITAL STORE,Shopping
CROMA ELECTRONICS STORE,Shopping
DECATHLON SPORTS STORE,Shopping
IKEA FURNITURE STORE,Shopping
DMART SUPERMARKET,Shopping
NYKAA BEAUTY ORDER,Shopping
ZARA CLOTHING STORE,Shopping
ELECTRICITY BILL BESCOM,Utilities
ELECTRICITY BILL PAYMENT,Utilities
AIRTEL POSTPAID BILL,Utilities
AIRTEL DTH RECHARGE,Utilities
JIO PREPAID RECHARGE,Utilities
JIOFIBER BILL,Utilities
BSNL BROADBAND BILL,Utilities
ACT FIBERNET BILL,Utilities
WATER BILL BWSSB,Utilities
GAS CYLINDER BOOKING,Utilities
PNG GAS BILL,Utilities
TATA SKY RECHARGE,Utilities
HOUSE RENT TRANSFER,Rent
MONTHLY RENT PAYMENT,Rent
RENT PAID LANDLORD,Rent
FLAT RENT NEFT,Rent
RENT UPI TRANSFER,Rent
PG RENT PAYMENT,Rent
HOSTEL RENT FEE,Rent
APARTMENT MAINTENANCE,Rent
SOCIETY MAINTENANCE BILL,Rent
RENT DEPOSIT PAYMENT,Rent
LANDLORD RENT RECEIPT,Rent
NETFLIX SUBSCRIPTION MONTHLY,Subscriptions
SPOTIFY PREMIUM PLAN,Subscriptions
AMAZON PRIME MEMBERSHIP,Subscriptions
HOTSTAR SUBSCRIPTION,Subscriptions
YOUTUBE PREMIUM,Subscriptions
ZEE5 SUBSCRIPTION PLAN,Subscriptions
APPLE ICLOUD PLAN,Subscriptions
GOOGLE ONE SUBSCRIPTION,Subscriptions
CULT FIT MEMBERSHIP,Subscriptions
AUDIBLE MEMBERSHIP,Subscriptions
LINKEDIN PREMIUM PLAN,Subscriptions
APOLLO PHARMACY,Health
MEDPLUS PHARMACY,Health
PHARMEASY MEDICINES ORDER,Health
TATA 1MG MEDICINES,Health
NETMEDS PHARMACY ORDER,Health
FORTIS HOSPITAL BILL,Health
DENTAL CLINIC PAYMENT,Health
DR LAL PATHLABS TEST,Health
THYROCARE BLOOD TEST,Health
PRACTO DOCTOR CONSULTATION,Health
MEDICINES PHARMACY BILL,Health
BOOKMYSHOW MOVIE TICKET,Entertainment
BOOKMYSHOW CONCERT TICKET,Entertainment
PVR CINEMAS TICKET,Entertainment
PVR MOVIE BOOKING,Entertainment
INOX MOVIE TICKET,Entertainment
MOVIE TICKET BOOKING,Entertainment
TIMEZONE GAMING,Entertainment
SMAAASH GAME ZONE,Entertainment
PLAY ARENA TICKET,Entertainment
COMEDY SHOW TICKET,Entertainment
PRIME VIDEO RENTAL,Entertainment
UDEMY COURSE PAYMENT,Education
UDEMY ONLINE COURSE,Education
COURSERA COURSE FEE,Education
COLLEGE TUITION FEE,Education
EXAM FEE PAYMENT,Education
EXAM REGISTRATION FEE,Education
UNACADEMY COURSE PLAN,Education
UPGRAD COURSE FEE,Education
BOOKSTORE BOOKS PURCHASE,Education
LIBRARY MEMBERSHIP FEE,Education
STATIONERY SHOP BILL,Education
INDIGO FLIGHT BOOKING,Travel
INDIGO FLIGHT TICKET,Travel
IRCTC TRAIN TICKET,Travel
IRCTC TATKAL TICKET,Travel
MAKE MY TRIP HOTEL BOOKING,Travel
GOIBIBO FLIGHT BOOKING,Travel
OYO HOTEL BOOKING,Travel
AIRBNB STAY BOOKING,Travel
SPICEJET FLIGHT TICKET,Travel
REDBUS BUS TICKET,Travel
VISTARA FLIGHT BOOKING,Travel
ATM CASH WITHDRAWAL,Other
UPI MONEY TRANSFER,Other
BANK TRANSFER FRIEND,Other
SALON HAIRCUT PAYMENT,Other
LAUNDRY SERVICE PAYMENT,Other
TEMPLE DONATION,Other
LIC INSURANCE PREMIUM,Other
MUTUAL FUND SIP,Other
GIFT SHOP PURCHASE,Other
BANK SERVICE CHARGES,Other
PET CLINIC BILL,Other
